race_id,gap_rank_upper,gap_rank_lower,upper_horse,lower_horse,upper_score,lower_score,raw_gap,gap_ratio,cluster_above_size,gap_percentile,gap_strength,is_major_gap
2026-0704-02-01-07-10,8,9,ライフゲート,レッドライトニング,0.0783445225115578,0.06779339719269567,0.010551125318862126,1.1556364742848282,8,62.80831229364925,62.80831229364925,0
2026-0704-02-01-07-10,9,10,レッドライトニング,メイショウタイピン,0.06779339719269567,0.06005271841850449,0.007740678774191177,1.1288980578738628,9,55.38939599922315,55.38939599922315,0
2026-0704-02-01-07-10,10,11,メイショウタイピン,モレポブラーノ,0.06005271841850449,0.041690148384309254,0.01836257003419524,1.4404534583308484,10,76.22839386288601,76.22839386288601,0
2026-0704-02-01-07-10,11,12,モレポブラーノ,オセアバトルプラン,0.041690148384309254,0.026144567089186794,0.01554558129512246,1.5946008301492207,11,72.22761701301224,72.22761701301224,0
2026-0704-02-01-07-10,12,13,オセアバトルプラン,エンプレスフレーム,0.026144567089186794,0.015511562739029032,0.010633004350157762,1.685488917464376,12,63.00252476208973,63.00252476208973,0
2026-0704-02-01-07-10,13,14,エンプレスフレーム,マッスルバック,0.015511562739029032,0.014216236304262032,0.0012953264347669996,1.0911159892846365,13,21.751796465333072,21.751796465333072,0
2026-0704-02-01-07-11,1,2,サウスバンク,マーブルパレス,0.25651022816914615,0.17168169031810104,0.0848285378510451,1.4941035802587348,1,96.48475432122743,96.48475432122743,1
2026-0704-02-01-07-11,2,3,マーブルパレス,アンジュプロミス,0.17168169031810104,0.16828204438997024,0.003399645928130801,1.0202020717091633,2,36.162361623616235,36.162361623616235,0
2026-0704-02-01-07-11,3,4,アンジュプロミス,エヴァンスウィート,0.16828204438997024,0.060249455196342915,0.10803258919362732,2.7930882336042235,3,97.96076908137502,97.96076908137502,1
2026-0704-02-01-07-11,4,5,エヴァンスウィート,ドゥアムール,0.060249455196342915,0.05792021320083005,0.0023292419955128624,1.0402146654301245,4,29.26781899397941,29.26781899397941,0
2026-0704-02-01-07-11,5,6,ドゥアムール,パクスロマーナ,0.05792021320083005,0.052281446011980696,0.005638767188849356,1.107854078625851,5,47.348999805787535,47.348999805787535,0
2026-0704-02-01-07-11,6,7,パクスロマーナ,シカゴスティング,0.052281446011980696,0.048838931575472824,0.003442514436507872,1.0704870955497463,6,36.337152845212664,36.337152845212664,0
