race_id,anchor,opponent_cluster,opponent_count,quinella_tickets,quinella_hit,quinella_stake,quinella_return,quinella_roi,exacta_tickets,exacta_hit,exacta_stake,exacta_return,exacta_roi,wide_tickets,wide_stake,wide_return,wide_roi
2026-0705-02-01-08-07,ムーンブランシュ,キャンドルマス/クイーンレグナント/アルヘンティニータ/キャリーグレイス/ジェイエルライナー/マインセーラ/パーティーガール/カップッチョ,8,8,0,800,0.0,0.0,8,0,800,0.0,0.0,8,800,0.0,0.0
2026-0705-02-01-08-08,ナクライト,アオハルブルース/ポンピエ/ゴールドドレッサ,3,3,0,300,0.0,0.0,3,0,300,0.0,0.0,3,300,0.0,0.0
2026-0705-02-01-08-09,マナボニート,セイプリーズ/ハリウッドメモリー/ショウナンカリス/ベルビースタローン/ベビーズブレス/ミニョンマルーン/ラスティングスノー/リリーフィールド/モズアンタレス/マジカルフェアリー/ヒラボクミニー/スイミーユニバンス/ゴキゲンサン/マルプリ,14,14,0,1400,0.0,0.0,14,0,1400,0.0,0.0,14,1400,2680.0,191.42857142857144
2026-0705-02-01-08-10,ラーシャローム,アスクデッドヒート/リアルファインド/バースライト/アメジストブラック/リギーロ/ライフセービング/ブリヤディアマンテ,7,7,0,700,0.0,0.0,7,0,700,0.0,0.0,7,700,0.0,0.0
2026-0705-02-01-08-11,カナルビーグル,ラタフォレスト/ヒルノハンブルク/コトホドサヨウニ/レヴォントゥレット/オウギノカナメ/アスクデビューモア/ワイドブリザード/ホールシバン/テーオードレフォン,9,9,0,900,0.0,0.0,9,0,900,0.0,0.0,9,900,0.0,0.0
2026-0705-02-01-08-12,ララバニュルス,グランフィエルテ/ハーモニーソング/コモンスナイプ/ブライトアゲイン/ソードマスター/フレンドモナコ/マイオウンウェイ/ユーベルジーク/ブラヴィーノ,9,9,1,900,760.0,84.44444444444444,9,1,900,1100.0,122.22222222222223,9,900,670.0,74.44444444444444
2026-0705-03-02-04-01,バーヴァンシー,ペールデュクラン/ナックレジーナ/リトルベルタ/オウケンハニー/バイアブランカ/デルマザオウ/ドナソラーレ/ミュージックレイン/マイトリックスター/マネーマネー/デルマツルギ/オーシャンミューズ/オリエンタルガール/アンジュリオ,14,14,0,1400,0.0,0.0,14,0,1400,0.0,0.0,14,1400,0.0,0.0
2026-0705-03-02-04-02,シルバーアックス,ゴールドパレード/ニシノタチアナ/ダイユウルミナス/ハルカオル/ハッピースーニャ/ドリーマーズ/セイウンプーパ/ホカミテダメ/エンジェルサン/ローズバラード/トウシンラヴ/ネオアンボウ/ケイベエ,13,13,0,1300,0.0,0.0,13,0,1300,0.0,0.0,13,1300,1720.0,132.3076923076923
2026-0705-03-02-04-03,マーゴットドライ,ワインダークシー/ヤマメホープ,2,2,1,200,720.0,360.0,2,1,200,1240.0,620.0,2,200,310.0,155.0
2026-0705-03-02-04-04,コウソクルリアン,フェイスリフト/エリースノー,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,0.0,0.0
2026-0705-03-02-04-07,ヴンダーバール,ケープウィッカム/マタミカンサン,2,2,0,200,0.0,0.0,2,0,200,0.0,0.0,2,200,360.0,180.0
2026-0705-03-02-04-09,フェルミアーク,イゾラフェリーチェ/マキシマムドライブ/ラパンチュール/カーヌスティ/バシレイア/ホウオウブースター/ヴェナートル/セイウンデセオ/ジョウゲンノツキ/エリカカリーナ/マンウォル/フェデルミエール/ライクアフラワー/ジャガード/ゼンダンタカ,15,15,0,1500,0.0,0.0,15,0,1500,0.0,0.0,15,1500,1300.0,86.66666666666667
2026-0705-03-02-04-10,ベストミーエヴァー,グランカンタンテ/ヨシヒロ/リアンベーレ/ペッレグリーニ/バセリーナ/レッドダンルース/ワザモノ/シャイニースイフト/マイネルフォルツァ/ロゼル/ビッグデイメイク,11,11,1,1100,700.0,63.63636363636363,11,1,1100,830.0,75.45454545454545,11,1100,690.0,62.727272727272734
2026-0705-03-02-04-11,メリークリスマス,ロジアデレード/ポッドロゴ/サクラトップリアル/ニシキギミッチー/ミッキーヌチバナ/ベルウェザー/ハビレ/カンピオーネ/ルージュアベリア/シゲルショウグン/ストレングス/サンマルパトロール/ショウナンライシン/ピースオブザライフ,14,14,0,1400,0.0,0.0,14,0,1400,0.0,0.0,14,1400,2310.0,165.0
2026-0705-03-02-04-12,ピコレッド,トモジャオーリー/カンレイスター/ヨドノティアラ/ランドスター/アースミューズ/ヴァイオスペース/ゼファーテソーロ/モーゲンセン/スカイダイバー/ノーブルオリンポス/リバージュエル/レインボーラッキー/キングクレオール/プレザントトーン,14,14,0,1400,0.0,0.0,14,0,1400,0.0,0.0,14,1400,0.0,0.0
