race_id,horse_name,actual_finish,odds,model_d_rank,model_e_rank,model_d_score,model_e_score,rank_change,last1_finish,last1_margin,last1_raw_performance,last1_adjusted_performance,hidden_strength_last1,max_hidden_strength_last3,max_strong_against_bias_last3,setup_improvement,last1_race_position_bias,last1_position_advantage
2026-0801-07-02-03-07,キングメーカー,11,125.0,6,4,0.06698706884569916,0.0783203249079018,2,13,7.0,0.3003647527862218,0.3003647527862218,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-07-02-03-07,エポックヴィーナス,7,152.0,8,6,0.04870607408065474,0.06078549839914676,2,8,6.0,0.3797138935057254,0.3797138935057254,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-07-02-03-10,ウォーターデライト,8,244.0,5,3,0.08151958711656729,0.09574492144090757,2,6,10.0,0.454214608313762,0.454214608313762,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-07-02-03-12,ヴォーカライズ,2,56.0,4,2,0.18675662625336734,0.22352036395549413,2,6,10.0,0.46668482663857175,0.46668482663857175,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0801-07-02-03-12,メイショウビストロ,8,148.0,5,3,0.16604299969176345,0.18992867550760245,2,3,1.0,0.6658720343342435,0.6658720343342435,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0802-01-01-04-06,ステラデルークス,8,77.0,9,7,0.07633383340907172,0.09293294873345403,2,7,10.0,0.44001815997190497,0.44001815997190497,0.0,0.012019675925925899,0.0480787037037037,-0.0,0.0,0.0
2026-0802-01-01-04-11,アンゴラブラック,9,151.0,9,7,0.06815675103645383,0.08212082815341183,2,10,7.0,0.3432218956433647,0.3432218956433647,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0802-04-02-04-07,ベルギューン,8,531.0,5,3,0.05600263080735008,0.07142425348338559,2,1,0.0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0802-04-02-04-07,カウンターセブン,14,295.0,10,8,0.03861241920370982,0.0404326418350062,2,3,4.0,0.5073262555554937,0.5073262555554937,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0802-04-02-04-07,エコロレジーナ,6,61.0,11,9,0.03391878302577523,0.039551949287351104,2,1,0.0,0.9945100481737169,0.9945100481737169,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0802-04-02-04-10,ハヌル,4,445.0,13,11,0.02041662263836729,0.022651518316295936,2,13,18.0,0.2725297877671822,0.2725297877671822,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0802-07-02-04-04,ジーティーリボーン,16,941.0,15,13,0.01724134674194321,0.02256990431369808,2,8,14.0,0.3692382967284956,0.3692382967284956,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0802-07-02-04-06,タガノアンファン,4,289.0,7,5,0.08738338261924361,0.10773680675678843,2,8,4.0,0.40732625555549373,0.40732625555549373,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0808-01-01-05-11,ルクソールカフェ,1,50.0,6,4,0.11631694470408266,0.13365232909837294,2,11,8.0,0.350134185051161,0.350134185051161,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0808-04-02-05-01,ヴィンチェローズ,8,754.0,6,4,0.06690044073288644,0.08441884382540572,2,4,11.0,0.4787030248789656,0.4787030248789656,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0808-04-02-05-09,アレーティア,12,395.0,12,10,0.03335669503663863,0.03626715123012356,2,11,16.0,0.3175298266892602,0.3175298266892602,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0808-04-02-05-11,オタルイーグル,16,454.0,11,9,0.031133032563739015,0.03379627088703939,2,14,13.0,0.2380476996981585,0.2380476996981585,0.0,0.0,-0.0,-0.0,0.0,0.0
2026-0808-04-02-05-11,セイラダンサー,13,1077.0,18,16,0.010207748350932931,0.011271158869285081,2,16,76.0,0.17169644834185693,0.17169644834185693,0.0,0.0,-0.0,-0.0,0.0,0.0
