race_id,horse_id,actual_rank,odds,CA_rank,CB_rank,CA_probability,CB_probability,rank_change
2026-0704-10-02-03-10,2022110111,12,130.0,9,9,0.027458591620582007,0.02882171411758157,0
2026-0704-10-02-03-10,2022104216,5,270.0,11,10,0.023702848043102163,0.025224383502179905,1
2026-0704-10-02-03-10,2021102562,9,302.0,10,11,0.02603694724323026,0.023528218067826907,-1
2026-0704-10-02-03-10,2019100871,10,1196.0,12,12,0.015107199469408151,0.016298310050637546,0
2026-0704-10-02-03-11,2023101449,2,22.0,1,1,0.27684745730472854,0.28269128434539625,0
2026-0704-10-02-03-11,2022105140,1,24.0,2,2,0.27221868524299425,0.2606753870370965,0
2026-0704-10-02-03-11,2020103456,10,753.0,3,3,0.09642263189272957,0.10286977866295802,0
2026-0704-10-02-03-11,2021105459,12,162.0,4,4,0.09521623942668914,0.09451043583962657,0
2026-0704-10-02-03-11,2021102115,7,146.0,5,5,0.08839180160897327,0.09122049725326824,0
2026-0704-10-02-03-11,2022100403,11,225.0,6,6,0.0756707930341858,0.07339532064311445,0
2026-0704-10-02-03-11,2022105475,6,129.0,8,7,0.06206907680656974,0.06302031693803399,1
2026-0704-10-02-03-11,2022102500,4,233.0,7,8,0.06222612583098592,0.060273044561834445,-1
2026-0704-10-02-03-11,2021104832,13,375.0,9,9,0.0591740649331824,0.050113412800804766,0
2026-0704-10-02-03-11,2020103168,9,358.0,10,10,0.02527825298109522,0.028180531429713766,0
2026-0704-10-02-03-11,2020101486,5,932.0,11,11,0.02364052512195029,0.02393585763012529,0
2026-0704-10-02-03-11,2020103407,14,740.0,13,12,0.019645894997538285,0.02094041012310592,1
2026-0704-10-02-03-11,2021105746,8,1180.0,12,13,0.021182123173886222,0.019631121321475622,-1
2026-0704-10-02-03-11,2020100976,3,650.0,14,14,0.01700667350377059,0.01764068835736387,0
2026-0704-10-02-03-12,2023107269,2,26.0,1,1,0.21380320826386878,0.21868693918224255,0
2026-0704-10-02-03-12,2021103488,5,78.0,2,2,0.19520375547060353,0.17665451781174968,0
2026-0704-10-02-03-12,2023105185,10,68.0,5,3,0.09122739116089988,0.09709790458691732,2
2026-0704-10-02-03-12,2023106999,11,117.0,3,4,0.10004603444488788,0.09125989476246174,-1
2026-0704-10-02-03-12,2022104644,9,97.0,4,5,0.09258341229457684,0.08858580140569758,-1
2026-0704-10-02-03-12,2022103880,1,213.0,7,6,0.07130672075938899,0.0777677322493808,1
2026-0704-10-02-03-12,2023105438,3,62.0,6,7,0.07398138113920529,0.06349582886556067,-1
2026-0704-10-02-03-12,2022102406,6,114.0,8,8,0.0524362309297161,0.05830049198069367,0
2026-0704-10-02-03-12,2021106586,8,964.0,9,9,0.025793222519121282,0.03030114709948841,0
2026-0704-10-02-03-12,2022105458,7,1653.0,10,10,0.01816311455338049,0.019315931222492467,0
2026-0704-10-02-03-12,2022101053,4,104.0,11,11,0.017331984308715468,0.017952879649311575,0
2026-0704-10-02-03-12,2022100087,12,2574.0,12,12,0.01379273735154428,0.013545853854696373,0
2026-0705-02-01-08-01,2024100652,8,18.0,1,1,0.273407429331575,0.23961434370651985,0
2026-0705-02-01-08-01,2024104976,2,59.0,2,2,0.27057219189859205,0.2195334655921237,0
2026-0705-02-01-08-01,2024100569,3,68.0,3,3,0.1874728836045326,0.20247883861573432,0
2026-0705-02-01-08-01,2024106853,1,94.0,5,4,0.11573178206291836,0.11895225850885052,1
2026-0705-02-01-08-01,2024110011,9,58.0,4,5,0.11871420431448249,0.11709800223213772,-1
2026-0705-02-01-08-01,2024100336,6,217.0,6,6,0.10247198024589792,0.10648395922181,0
2026-0705-02-01-08-01,2024106942,5,370.0,7,7,0.06082212438942325,0.036607188303455405,0
2026-0705-02-01-08-01,2024100607,7,669.0,8,8,0.0445628069945282,0.02936268003150559,0
2026-0705-02-01-08-01,2024102714,4,628.0,9,9,0.022390481250939308,0.02241242811857417,0
2026-0705-02-01-08-02,2023105059,1,18.0,1,1,0.2527965694717218,0.24803366646934344,0
2026-0705-02-01-08-02,2023103999,2,49.0,2,2,0.15523276200125277,0.14057130124299966,0
