policy,race_id,horse_id,horse_expected_position_delta,position_stability_delta,last1_raw_performance_delta,last1_adjusted_performance_delta,hidden_strength_last1_delta,last1_winner_strength_delta,last1_field_strength_delta,last1_margin_delta,usable_history_count_delta
filter-a,2026-0704-02-01-07-06,2023101857,-0.18333333333333335,-0.18333333333333335,-0.34972660870146466,-0.3663932753681313,-0.016666666666666663,0.0,0.0,-4.0,-2
filter-a,2026-0704-02-01-07-06,2023105320,-0.33333333333333337,-0.23570226039551584,-0.4224012572777338,-0.4547607247333551,-0.032359467455621294,0.0,0.0,-13.0,-3
filter-a,2026-0704-02-01-07-06,2023101088,0.2,-0.21602468994692867,-0.23573459061106705,-0.24757052811106706,-0.011835937500000004,0.0,0.0,-13.0,-3
filter-a,2026-0704-02-01-07-07,2023103528,-0.06944444444444442,0.12028130608117203,-0.04080355165814309,-0.04080355165814309,0.0,-0.25,-0.12038878187203544,0.0,-1
filter-a,2026-0704-02-01-07-07,2023105199,0.0,0.0,0.07495788111925317,0.07495788111925317,0.0,0.0,0.0,-1.0,-3
filter-a,2026-0704-02-01-07-07,2023100997,0.0,0.0,-0.025000000000000022,-0.025000000000000022,0.0,-0.125,-0.09384920634920635,0.0,-1
filter-a,2026-0704-02-01-07-07,2023109031,0.12,-0.19390719429665315,0.1625704506390944,0.1275878117502055,-0.03498263888888889,0.0,0.0,0.0,-4
filter-a,2026-0704-02-01-07-07,2023101143,0.0,0.0,-0.6907628826942016,-0.6907628826942016,0.0,0.0,0.0,30.0,-3
filter-a,2026-0704-02-01-07-07,2021105715,0.0,0.0,-0.04080355165814306,-0.04080355165814306,0.0,-0.25,-0.12038878187203544,0.0,0
filter-a,2026-0704-02-01-07-07,2023105035,0.0,0.0,-0.025000000000000022,-0.025000000000000022,0.0,-0.125,-0.09384920634920635,0.0,0
filter-a,2026-0704-02-01-07-07,2023106912,0.0,0.0,-0.040803551658143034,-0.040803551658143034,0.0,-0.25,-0.12038878187203544,0.0,0
filter-a,2026-0704-02-01-07-07,2022105162,0.0,0.0,-0.033333333333333326,-0.033333333333333326,0.0,-0.16666666666666666,-0.05737627408823061,0.0,0
filter-a,2026-0704-02-01-07-07,2021102312,0.0,0.0,0.0,0.0,0.0,0.0,-0.08429686255773212,0.0,0
filter-a,2026-0704-02-01-07-08,2023104156,-0.09999999999999998,-0.0709536507804936,-0.02857142857142858,-0.02857142857142858,0.0,-0.14285714285714285,-0.12344877344877345,0.0,0
filter-a,2026-0704-02-01-07-08,2022104164,0.0,0.0,-0.03750875998915981,-0.03750875998915981,0.0,-0.3333333333333333,-0.11706460754158123,0.0,0
filter-a,2026-0704-02-01-07-08,2023107005,0.0,0.0,-0.02546903255993549,-0.02546903255993549,0.0,-0.5,-0.16666666666666669,0.0,0
filter-a,2026-0704-02-01-07-08,2023105261,-0.010531135531135521,-0.14936778911380932,-0.03750875998915984,-0.03750875998915984,0.0,-0.3333333333333333,-0.11706460754158123,0.0,-3
filter-a,2026-0704-02-01-07-08,2023106495,0.0,0.0,-0.034119006572959465,-0.034119006572959465,0.0,-0.5,-0.125,0.0,0
filter-a,2026-0704-02-01-07-08,2022104973,0.0,0.0,-0.03750875998915992,-0.03750875998915992,0.0,-0.3333333333333333,-0.11706460754158123,0.0,0
filter-a,2026-0704-02-01-07-08,2020105796,0.0,0.0,-0.03750875998915992,-0.03750875998915992,0.0,-0.3333333333333333,-0.11706460754158123,0.0,0
filter-a,2026-0704-02-01-07-09,2022106645,0.0,0.0,-0.010526315789473606,-0.010526315789473606,0.0,-0.05263157894736842,-0.05262624157747997,0.0,0
filter-a,2026-0704-02-01-07-09,2020100621,0.0,0.0,-0.040000000000000036,-0.040000000000000036,0.0,-0.2,-0.1483133046290941,0.0,0
